City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
226,Shingu,JP,33.7333,135.9833,72.5,95,100,0.18,light rain
227,Inhambane,MZ,-23.865,35.3833,71.58,60,0,0.0,clear sky
228,Taoudenni,ML,22.6783,-3.9836,103.6,9,7,13.58,clear sky
229,Ballina,AU,-28.8667,153.5667,59.02,72,99,19.84,overcast clouds
230,Kitimat,CA,54.0524,-128.6534,53.98,26,100,1.21,moderate rain
231,Miyako,JP,39.6367,141.9525,69.22,86,98,7.94,overcast clouds
232,Nanakuli,US,21.3906,-158.1547,78.75,80,33,16.87,scattered clouds
233,Dicabisagan,PH,17.0818,122.4157,87.01,78,31,10.29,scattered clouds
234,Chenghai,CN,23.4632,116.768,94.91,63,20,17.9,few clouds
235,Moyale,KE,3.5167,39.0584,70.09,69,100,14.27,overcast clouds
236,Kununurra,AU,-15.7667,128.7333,80.58,14,7,9.22,clear sky
237,Mangrol,IN,21.1167,70.1167,82.58,85,100,10.76,overcast clouds
238,Xiongzhou,CN,25.1167,114.3,94.66,51,100,2.71,overcast clouds
239,Pervomayskoye,RU,43.919,46.7102,94.66,29,85,12.1,overcast clouds
240,Sioux Lookout,CA,50.1001,-91.917,55.47,94,0,3.44,clear sky
241,Nikolskoye,RU,59.7035,30.7861,75.87,55,80,9.78,broken clouds
242,May Pen,JM,17.9645,-77.2451,81.61,92,98,4.68,overcast clouds
243,Constitucion,CL,-35.3333,-72.4167,40.93,90,100,4.29,overcast clouds
244,Gallup,US,35.5281,-108.7426,69.64,56,20,0.0,few clouds
245,Klaebu,NO,63.2976,10.4826,50.23,90,100,14.76,light rain
246,Kankon,IN,15.0167,74.0167,80.62,83,100,22.3,light rain
247,Oktyabrskiy,RU,54.4815,53.471,78.89,67,99,8.43,overcast clouds
248,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,20,8.05,few clouds
249,Yumen,CN,40.2833,97.2,80.02,26,100,2.44,overcast clouds
250,Marshall,US,34.3834,-86.3333,73.38,94,40,0.0,scattered clouds
251,Kirakira,SB,-10.4544,161.9205,78.87,75,64,4.09,broken clouds
252,Merauke,ID,-8.4667,140.3333,79.21,72,27,15.97,scattered clouds
253,Shelburne,CA,44.0787,-80.2041,56.59,95,2,5.7,clear sky
254,Sibolga,ID,1.7427,98.7792,85.71,70,100,5.12,light rain
255,Zhangye,CN,38.9342,100.4517,82.47,32,100,2.33,overcast clouds
256,Vardo,NO,70.3705,31.1107,51.78,100,100,3.44,fog
257,Lavrentiya,RU,65.5833,-171.0,50.67,70,24,6.11,few clouds
258,Dahod,IN,22.8333,74.2667,88.02,63,100,5.73,heavy intensity rain
259,Hoa Binh,VN,20.8133,105.3383,87.66,77,99,2.89,heavy intensity rain
260,Taraz,KZ,42.9,71.3667,90.01,20,0,22.37,clear sky
261,Pryamitsyno,RU,51.6561,35.9314,63.14,83,85,8.48,light rain
262,Cockburn Town,TC,21.4612,-71.1419,81.52,74,68,14.27,broken clouds
263,Erzin,TR,36.9559,36.2,88.72,42,8,4.99,clear sky
264,Sabla,NG,12.7525,4.7077,82.36,67,66,14.27,broken clouds
265,Kapiri Mposhi,ZM,-13.9652,28.6809,65.46,49,95,9.33,overcast clouds
266,Nome,US,64.5011,-165.4064,56.16,82,0,6.91,clear sky
267,Kurilsk,RU,45.2333,147.8833,58.08,89,62,6.13,broken clouds
268,Killybegs,IE,54.6333,-8.45,56.91,81,95,12.59,overcast clouds
269,Yeppoon,AU,-23.1333,150.7333,62.38,59,0,9.17,clear sky
270,Yanam,IN,16.7333,82.2167,88.88,58,52,14.12,broken clouds
271,Klaksvik,FO,62.2266,-6.589,49.12,79,91,8.37,overcast clouds
272,Aksay,RU,47.26,39.87,80.82,33,7,17.0,clear sky
273,Mandalgovi,MN,45.7625,106.2708,82.4,18,100,11.61,overcast clouds
274,Hamilton,US,39.1834,-84.5333,70.93,91,40,1.01,mist
275,Dejen,ET,10.1667,38.1333,61.72,72,100,6.22,light rain
